node_id,is_fraud,ring_id,ring_type,point_balance,lifetime_points,redemption_count_30d,transfer_count_30d,account_age_days,status_tier,suspicious_velocity
118,1,59,3,1660,322706,6,2,686,1,1
119,1,59,3,2329,246308,14,2,207,3,1
120,1,59,3,1059,189058,4,9,506,1,1
121,1,59,3,2226,275400,7,5,1981,2,1
122,1,59,3,4923,336456,11,7,1607,3,1
123,1,59,3,2071,343740,4,3,1839,1,1
124,1,60,3,339233,63577,11,9,7,0,1
125,1,60,3,261857,266985,13,6,27,0,1
126,1,60,3,336916,394738,17,3,8,0,1
127,1,60,3,131348,391729,10,11,28,0,1
128,1,60,3,216504,231835,12,8,11,0,1
129,1,60,3,205749,255097,12,8,14,0,1
130,1,60,3,182940,398531,12,5,22,0,1
131,1,60,3,537,381429,6,4,490,2,1
132,1,60,3,3850,183740,11,5,1129,3,1
133,1,60,3,3573,175111,7,6,1565,2,1
134,1,60,3,644,344127,7,6,935,3,1
135,1,60,3,454,155460,14,7,670,3,1
136,1,60,3,2738,275521,9,3,1972,1,1
137,1,60,3,3026,224650,6,6,1343,3,1
138,1,60,3,2355,173062,14,2,247,2,1
139,1,60,3,1979,388326,7,2,1281,2,1
140,1,60,3,4705,262111,7,9,1126,3,1
141,1,60,3,3838,62085,14,8,1181,1,1
142,1,60,3,162,388198,13,4,624,2,1
143,1,60,3,4378,248214,7,4,1095,2,1
144,1,60,3,3340,197475,10,7,459,1,1
145,1,60,3,1202,370803,3,9,1415,2,1
146,1,60,3,3911,264259,5,6,1244,1,1
147,1,60,3,3189,94680,14,9,943,1,1
148,1,60,3,277,173547,14,5,1545,1,1
149,1,60,3,3270,79168,4,5,326,2,1
150,1,61,3,212210,169345,11,7,18,0,1
151,1,61,3,180766,222944,18,12,23,0,1
152,1,61,3,220810,536759,10,11,22,0,1
153,1,61,3,198656,388541,7,7,16,0,1
154,1,61,3,349626,246167,15,10,26,0,1
155,1,61,3,67519,332372,15,8,9,0,1
156,1,61,3,1202,237682,3,9,1840,3,1
157,1,61,3,4408,132035,6,6,705,2,1
158,1,61,3,1156,238234,8,4,1407,3,1
159,1,61,3,1377,347403,10,5,290,3,1
160,1,61,3,1221,271839,9,6,1636,2,1
161,1,61,3,3525,197101,5,7,1966,1,1
162,1,61,3,3478,57268,6,9,380,3,1
163,1,61,3,4468,181345,6,2,594,1,1
164,1,61,3,2348,108409,11,5,827,3,1
165,1,61,3,545,150912,11,4,648,3,1
166,1,61,3,4657,314823,5,3,757,2,1
167,1,61,3,4729,110549,14,2,1305,3,1
168,1,61,3,2917,139080,5,6,694,2,1
169,1,61,3,2197,210868,14,6,1761,2,1
170,1,61,3,3966,130150,8,7,1516,2,1
171,1,61,3,3730,109863,4,6,722,3,1
172,1,61,3,4647,75521,14,4,1449,2,1
173,1,61,3,3984,386474,5,4,1000,3,1
174,1,61,3,4824,140523,3,7,334,2,1
175,1,61,3,1073,112792,12,9,1328,1,1
176,1,61,3,4591,341214,4,7,1136,3,1
177,1,62,3,482212,333096,16,8,1,0,1
178,1,62,3,119691,419751,9,6,3,0,1
179,1,62,3,419461,98708,13,6,27,0,1
180,1,62,3,2113,333447,3,4,1247,1,1
181,1,62,3,890,164905,7,6,1199,2,1
182,1,62,3,4821,305776,10,4,834,3,1
183,1,62,3,2396,189004,5,8,449,3,1
184,1,62,3,1000,344892,7,2,1934,1,1
185,1,62,3,175,126384,9,5,207,3,1
186,1,62,3,4430,188374,11,8,1398,1,1
187,1,62,3,4148,151584,8,2,891,2,1
188,1,63,3,300915,131269,13,5,10,0,1
189,1,63,3,478468,296073,5,10,6,0,1
190,1,63,3,52251,419170,14,5,22,0,1
191,1,63,3,131873,326006,13,4,21,0,1
192,1,63,3,276662,286848,16,12,15,0,1
193,1,63,3,75,61102,5,4,1908,3,1
194,1,63,3,1932,152550,9,4,1883,3,1
195,1,63,3,410,162735,8,4,381,1,1
196,1,63,3,1067,162286,14,3,822,3,1
197,1,63,3,4537,202768,12,5,1276,1,1
198,1,63,3,3661,313516,4,8,574,1,1
199,1,63,3,2546,228878,7,3,947,3,1
200,1,64,3,117661,529723,13,12,23,0,1
201,1,64,3,310701,298979,17,9,29,0,1
202,1,64,3,350039,400525,13,5,22,0,1
203,1,64,3,161530,388383,16,8,29,0,1
204,1,64,3,123651,165671,9,14,16,0,1
205,1,64,3,170730,581094,11,6,27,0,1
206,1,64,3,3856,185187,13,2,385,1,1
207,1,64,3,78,273111,10,7,1017,3,1
208,1,64,3,1527,133727,12,9,742,1,1
209,1,64,3,1861,317460,5,3,1413,1,1
210,1,64,3,2397,220761,8,9,1902,1,1
211,1,64,3,682,113169,8,9,1049,1,1
212,1,64,3,3599,101231,3,2,1970,3,1
213,1,64,3,3671,206702,9,9,1760,3,1
214,1,64,3,562,301938,3,3,1836,2,1
215,1,64,3,1030,292084,14,6,1292,3,1
216,1,64,3,3741,250473,11,4,699,2,1
217,1,64,3,740,373161,4,7,884,2,1
218,1,64,3,4171,76607,3,4,946,3,1
219,1,64,3,3635,362171,10,6,527,3,1
220,1,64,3,3148,272781,13,5,1568,1,1
221,1,64,3,3744,214618,13,4,1720,3,1
222,1,64,3,4747,214415,13,3,965,3,1
223,1,64,3,1459,145197,13,7,1000,3,1
224,1,64,3,2135,193455,11,6,233,1,1
225,1,64,3,2320,197288,13,2,1507,2,1
226,1,64,3,4333,98251,13,4,1458,2,1
227,1,64,3,4456,66742,11,3,438,1,1
228,1,64,3,521,355034,4,5,343,2,1
229,1,64,3,1302,184815,3,9,831,2,1
230,1,65,3,298340,519838,5,8,12,0,1
231,1,65,3,383046,411255,15,13,9,0,1
232,1,65,3,211537,240732,17,8,22,0,1
233,1,65,3,4821,78998,6,6,1757,3,1
234,1,65,3,3341,303799,3,3,327,3,1
235,1,65,3,543,389542,4,7,530,3,1
236,1,65,3,2102,54032,4,4,735,2,1
237,1,65,3,3554,104357,7,6,848,1,1
238,1,65,3,3467,282252,8,3,1494,2,1
239,1,65,3,3381,77661,4,3,1672,1,1
240,1,65,3,2867,160163,13,5,1582,3,1
241,1,65,3,4050,393287,11,6,993,2,1
242,1,65,3,2426,218186,9,7,1256,1,1
243,1,65,3,2271,147085,14,6,1537,1,1
244,1,65,3,854,203277,8,9,1073,3,1
245,1,65,3,4443,234522,7,7,433,2,1
246,1,65,3,3005,291384,5,7,1544,1,1
247,1,65,3,2143,337961,4,3,1618,3,1
248,1,65,3,3127,352213,14,3,725,3,1
249,1,66,3,211083,335242,18,7,13,0,1
250,1,66,3,110121,226988,16,11,24,0,1
251,1,66,3,271963,545080,13,4,5,0,1
252,1,66,3,273299,256355,6,3,18,0,1
253,1,66,3,389695,171030,8,9,4,0,1
254,1,66,3,426971,374231,10,9,5,0,1
255,1,66,3,1502,379971,7,7,285,1,1
256,1,66,3,2679,371661,6,5,1879,1,1
257,1,66,3,319,233826,7,9,688,3,1
258,1,66,3,3853,296917,4,8,516,3,1
259,1,66,3,2044,244770,10,4,472,3,1
260,1,66,3,1003,253234,11,3,971,2,1
261,1,66,3,3751,395802,6,5,1004,1,1
262,1,66,3,526,87699,12,6,874,1,1
263,1,66,3,3322,324680,4,5,1759,1,1
264,1,66,3,4356,351398,10,4,1111,2,1
265,1,66,3,211,188194,7,3,1184,2,1
266,1,66,3,3694,381019,14,5,1377,3,1
267,1,66,3,4202,358260,7,3,1837,1,1
268,1,66,3,2549,257745,3,7,969,3,1
269,1,66,3,2959,50006,14,4,318,1,1
270,1,66,3,2347,366007,10,3,560,2,1
271,1,66,3,582,232603,5,5,1283,1,1
272,1,66,3,859,328326,7,4,693,2,1
273,1,67,3,409365,575033,7,12,18,0,1
274,1,67,3,233516,168009,7,4,8,0,1
275,1,67,3,281102,345993,19,11,29,0,1
276,1,67,3,389226,365370,17,12,24,0,1
277,1,67,3,162355,448299,8,6,21,0,1
278,1,67,3,277351,482299,15,11,5,0,1
279,1,67,3,97028,186584,10,12,2,0,1
280,1,67,3,1956,304549,4,4,298,2,1
281,1,67,3,610,81095,6,4,288,3,1
282,1,67,3,1896,71822,3,9,1602,2,1
283,1,67,3,1933,126847,14,9,803,2,1
284,1,67,3,1437,177744,7,3,1051,2,1
285,1,67,3,4454,57151,4,2,1994,1,1
286,1,67,3,4590,255115,12,3,660,2,1
287,1,67,3,1516,102186,11,8,557,2,1
288,1,67,3,3935,354449,13,2,785,2,1
289,1,67,3,3817,280564,5,6,751,2,1
290,1,67,3,4810,237506,13,6,335,2,1
291,1,67,3,1564,371168,4,7,985,1,1
292,1,67,3,2171,228331,6,5,327,3,1
293,1,67,3,3076,136452,14,2,1619,3,1
294,1,67,3,2954,80855,9,8,1118,2,1
295,1,67,3,4550,334789,11,5,1438,2,1
296,1,67,3,542,320870,5,2,1264,1,1
297,1,67,3,1640,52509,3,7,1595,2,1
298,1,67,3,667,351038,6,5,1933,1,1
299,1,67,3,125,61056,12,6,207,2,1
300,1,67,3,3407,263621,12,4,1013,2,1
301,1,67,3,2051,79649,3,3,1309,1,1
302,1,67,3,2793,170293,10,8,1582,2,1
303,1,68,3,149755,279618,13,12,20,0,1
304,1,68,3,495775,356394,18,9,10,0,1
305,1,68,3,353404,271086,14,10,3,0,1
306,1,68,3,292110,57413,11,10,19,0,1
307,1,68,3,96501,550240,16,6,14,0,1
308,1,68,3,107752,249430,15,13,18,0,1
309,1,68,3,177246,548073,13,11,21,0,1
310,1,68,3,69,111020,14,5,502,2,1
311,1,68,3,1220,92218,5,6,284,1,1
312,1,68,3,4816,108922,6,6,1756,3,1
313,1,68,3,3558,314753,14,5,787,3,1
314,1,68,3,1380,316971,8,5,1133,2,1
315,1,68,3,84,52640,13,7,1934,1,1
316,1,68,3,2958,247285,14,6,1572,1,1
317,1,68,3,3382,367222,12,8,1138,1,1
318,1,68,3,2566,172904,4,2,415,1,1
319,1,68,3,26,364625,5,2,1061,3,1
320,1,68,3,2137,167777,13,8,1354,3,1
321,1,68,3,3217,102018,7,4,453,1,1
322,1,68,3,1530,145290,14,4,305,1,1
323,1,68,3,3072,380831,8,8,277,1,1
324,1,68,3,1457,76205,9,3,1341,1,1
325,1,68,3,4547,304865,6,9,1042,1,1
326,1,68,3,2600,282014,6,6,1968,1,1
327,1,68,3,1122,362051,6,2,1642,3,1
328,1,68,3,1599,220282,9,4,435,1,1
329,1,68,3,3916,63578,3,6,1478,2,1
330,1,68,3,4366,77894,8,7,1252,1,1
331,1,68,3,4731,149821,4,9,1133,1,1
332,1,68,3,2522,257504,13,6,1089,3,1
333,1,68,3,4233,253778,13,5,701,2,1
334,1,68,3,2955,164973,13,7,1998,2,1
335,1,69,3,416851,206109,8,11,16,0,1
336,1,69,3,63754,552965,12,6,3,0,1
337,1,69,3,2163,249785,4,2,1838,1,1
338,1,69,3,3504,240723,4,3,1337,2,1
339,1,69,3,2058,340502,14,5,481,1,1
340,1,69,3,3819,363588,3,9,945,3,1
341,1,69,3,523,329830,10,5,1305,1,1
342,1,69,3,3362,321399,8,5,1555,2,1
343,1,69,3,117,131637,7,2,790,2,1
344,1,69,3,4886,262871,5,3,1277,1,1
345,1,69,3,1497,95636,8,5,986,3,1
346,1,69,3,4904,76397,5,7,377,1,1
347,1,69,3,3060,394543,14,3,992,1,1
348,1,69,3,4499,309209,8,9,744,1,1
349,1,69,3,4768,198922,13,4,1934,2,1
350,1,69,3,3346,338910,5,7,1524,3,1
351,1,69,3,1523,254814,9,8,1956,2,1
352,1,69,3,436,90861,12,3,696,3,1
353,1,69,3,4360,290230,5,3,1598,3,1
354,1,69,3,3480,272510,9,2,800,1,1
355,1,69,3,1248,94436,5,4,828,1,1
356,1,69,3,2745,61139,9,7,1163,1,1
357,1,70,3,70522,526334,9,11,26,0,1
358,1,70,3,325148,144211,8,8,29,0,1
359,1,70,3,354571,389100,17,4,3,0,1
360,1,70,3,312510,375509,8,10,5,0,1
361,1,70,3,138821,541661,5,9,25,0,1
362,1,70,3,370838,292038,9,3,4,0,1
363,1,70,3,310112,340667,10,6,3,0,1
364,1,70,3,4571,305079,14,6,229,1,1
365,1,70,3,3405,211673,10,2,421,3,1
366,1,70,3,1201,219459,11,2,228,2,1
367,1,70,3,1069,350824,14,5,1017,2,1
368,1,70,3,3387,252528,8,6,1076,1,1
369,1,70,3,2842,383290,3,9,1093,2,1
370,1,71,3,456307,312172,19,4,10,0,1
371,1,71,3,463550,443752,9,13,12,0,1
372,1,71,3,1651,389338,7,7,559,3,1
373,1,71,3,2894,170207,12,8,986,2,1
374,1,71,3,1356,275210,8,3,1372,3,1
375,1,71,3,1758,252037,6,6,723,3,1
376,1,71,3,4950,391372,14,2,1917,1,1
377,1,71,3,1112,260008,6,7,928,3,1
378,1,71,3,1758,226691,10,9,1969,2,1
379,1,71,3,2842,85936,3,9,1120,2,1
380,1,71,3,3618,295297,12,8,924,2,1
381,1,71,3,1877,99324,7,5,1313,1,1
382,1,71,3,2008,81538,8,2,455,3,1
383,1,71,3,3862,362619,4,6,429,2,1
384,1,71,3,669,301678,7,5,992,1,1
385,1,71,3,2610,327031,6,6,1796,2,1
386,1,71,3,1719,158898,6,3,1930,1,1
387,1,71,3,3215,363418,3,7,529,2,1
388,1,71,3,2797,229856,4,6,1642,2,1
389,1,72,3,182459,159159,7,9,12,0,1
390,1,72,3,468160,580714,6,13,3,0,1
391,1,72,3,373504,577297,10,4,2,0,1
392,1,72,3,203921,573848,11,8,1,0,1
393,1,72,3,349911,153444,15,12,23,0,1
394,1,72,3,283484,407515,10,11,20,0,1
395,1,72,3,134690,228623,16,8,7,0,1
396,1,72,3,4221,333922,8,3,530,2,1
397,1,72,3,2549,178313,4,3,1723,1,1
398,1,72,3,2143,178810,5,8,863,1,1
399,1,72,3,975,96104,10,8,697,3,1
400,1,72,3,3606,369222,11,7,1319,3,1
401,1,72,3,588,269581,3,4,829,1,1
402,1,72,3,3857,255450,14,6,396,3,1
403,1,72,3,1176,366843,3,4,1008,3,1
404,1,72,3,2021,297619,14,8,862,3,1
405,1,72,3,853,224227,7,4,1687,1,1
406,1,72,3,3108,287529,7,6,337,2,1
407,1,72,3,1521,141642,12,7,1939,3,1
408,1,72,3,4892,59494,5,3,1250,3,1
409,1,72,3,978,101137,10,4,391,3,1
410,1,72,3,1993,348277,6,3,961,2,1
411,1,72,3,4141,147340,13,7,879,1,1
412,1,72,3,4297,214401,5,8,1001,1,1
413,1,72,3,4994,151312,14,6,555,1,1
414,1,72,3,4546,138209,9,4,1532,1,1
415,1,73,3,283191,463163,19,9,3,0,1
416,1,73,3,135933,204757,18,9,28,0,1
417,1,73,3,429877,534371,9,9,2,0,1
418,1,73,3,1132,395183,11,2,364,3,1
419,1,73,3,2210,52056,6,2,1155,3,1
420,1,73,3,4058,273757,11,3,324,1,1
421,1,73,3,1118,319121,10,8,1563,2,1
422,1,73,3,2470,388966,13,6,359,2,1
423,1,73,3,1162,127224,11,7,1367,2,1
424,1,73,3,3746,371411,14,2,1862,2,1
425,1,73,3,3010,289057,3,6,875,3,1
426,1,73,3,1723,389493,12,8,284,2,1
427,1,73,3,4606,89030,13,5,392,2,1
428,1,73,3,922,122068,6,2,1395,1,1
429,1,73,3,273,186584,5,5,381,1,1
430,1,73,3,376,89612,8,6,1202,1,1
431,1,73,3,2391,238223,9,7,384,2,1
432,1,73,3,193,98714,8,9,1644,1,1
433,1,73,3,2110,78907,11,7,1995,1,1
434,1,73,3,738,332328,7,2,1388,3,1
435,1,73,3,4078,184783,3,5,421,1,1
436,1,73,3,1434,214128,6,6,343,1,1
437,1,73,3,2394,259927,10,3,703,3,1
438,1,73,3,1892,317064,3,4,207,3,1
439,1,73,3,3970,351199,11,6,1808,3,1
440,1,73,3,475,282661,4,7,405,2,1
441,1,73,3,1157,165336,13,9,1666,3,1
442,1,73,3,1739,389104,3,7,1303,3,1
443,1,73,3,2384,53417,6,7,297,2,1
444,1,73,3,681,89739,11,3,803,2,1
445,1,73,3,3077,337313,7,3,218,1,1
446,1,74,3,426695,258927,5,8,4,0,1
447,1,74,3,261939,420070,10,3,26,0,1
448,1,74,3,293560,62711,13,14,1,0,1
449,1,74,3,404013,257439,15,3,27,0,1
450,1,74,3,485098,352440,8,4,21,0,1
451,1,74,3,407066,420571,12,12,22,0,1
452,1,74,3,3776,176322,4,8,1144,2,1
453,1,74,3,923,256344,3,8,1955,1,1
454,1,74,3,3132,127113,11,2,481,3,1
455,1,74,3,2886,265159,3,2,1732,2,1
456,1,74,3,4719,363722,7,5,352,1,1
457,1,74,3,3706,377455,7,5,1224,3,1
458,1,74,3,87,387524,4,8,1404,3,1
459,1,74,3,2744,238370,8,9,1722,2,1
460,1,74,3,4693,117369,3,3,733,1,1
461,1,74,3,2229,292748,4,8,673,2,1
462,1,74,3,4906,206030,13,8,1991,1,1
463,1,74,3,1049,281277,10,8,1874,1,1
464,1,74,3,3176,166545,13,5,1555,1,1
465,1,74,3,2989,91902,12,9,1293,3,1
466,1,74,3,4759,330422,3,8,202,1,1
467,1,74,3,2507,146896,8,2,472,2,1
468,1,74,3,2925,77522,7,9,1032,1,1
469,1,74,3,4810,210605,5,9,1101,1,1
470,1,74,3,4834,206235,7,9,864,3,1
471,1,74,3,112,277522,4,9,559,2,1
472,1,74,3,1168,136392,4,8,990,1,1
473,1,74,3,4213,168066,9,8,1944,3,1
474,1,74,3,2990,305077,11,6,1218,1,1
475,1,74,3,2520,78480,13,3,346,1,1
476,1,74,3,402,200253,10,2,1980,1,1
477,1,74,3,2981,335867,4,5,1823,1,1
478,1,74,3,1081,338718,12,3,1698,3,1
479,1,74,3,3066,293402,3,3,1570,2,1
480,1,74,3,3100,295249,8,7,1689,2,1
481,1,75,3,302832,80228,17,6,22,0,1
482,1,75,3,157597,241149,8,13,23,0,1
483,1,75,3,366839,217612,16,8,21,0,1
484,1,75,3,169484,346660,19,3,23,0,1
485,1,75,3,364091,282805,18,11,16,0,1
486,1,75,3,191671,427581,6,6,13,0,1
487,1,75,3,150996,360521,18,7,12,0,1
488,1,75,3,2878,130899,7,7,1528,2,1
489,1,75,3,2319,89158,14,4,223,2,1
490,1,75,3,4568,395660,3,5,1132,1,1
491,1,75,3,1731,78419,10,8,1931,2,1
492,1,75,3,1083,257208,4,8,1371,3,1
493,1,75,3,284,212015,8,9,1816,3,1
494,1,75,3,1661,202425,5,9,427,2,1
495,1,75,3,561,191984,11,8,1826,1,1
496,1,75,3,2543,88153,11,9,1649,1,1
497,1,75,3,3019,104993,8,7,1633,2,1
498,1,76,3,242541,440170,15,11,1,0,1
499,1,76,3,403336,405716,5,14,23,0,1
500,1,76,3,1267,249303,14,6,341,3,1
501,1,76,3,1759,339741,10,8,1199,3,1
502,1,76,3,4802,61237,8,7,1152,3,1
503,1,76,3,4412,342766,9,2,227,2,1
504,1,76,3,430,322227,12,2,1194,1,1
505,1,76,3,664,248616,13,2,897,2,1
506,1,76,3,1632,345076,8,6,912,3,1
507,1,76,3,3821,138828,6,2,1858,3,1
508,1,76,3,4872,390886,13,7,521,1,1
509,1,76,3,26,84187,5,2,1680,3,1
510,1,76,3,502,109959,8,9,566,3,1
511,1,76,3,1757,114671,11,9,810,3,1
512,1,76,3,3151,98401,9,2,1561,3,1
513,1,76,3,221,326511,5,8,1360,3,1
514,1,76,3,2565,65504,7,5,1990,3,1
515,1,76,3,3317,268172,13,9,686,3,1
516,1,76,3,1069,87932,12,3,1440,2,1
517,1,76,3,1480,110757,7,9,1665,2,1
518,1,77,3,454827,495560,18,6,13,0,1
519,1,77,3,431806,464639,7,13,3,0,1
520,1,77,3,164700,343077,14,12,22,0,1
521,1,77,3,177911,246620,15,14,26,0,1
522,1,77,3,485218,421445,12,12,3,0,1
523,1,77,3,471309,555432,12,9,16,0,1
524,1,77,3,112472,163175,15,3,20,0,1
525,1,77,3,4285,173193,8,6,320,1,1
526,1,77,3,4043,326485,7,9,1899,1,1
527,1,77,3,2489,99598,10,9,381,1,1
528,1,77,3,1708,274377,10,8,1652,1,1
529,1,77,3,1014,377680,8,6,1362,2,1
530,1,77,3,4417,326928,5,4,1766,3,1
531,1,77,3,3149,192876,12,6,1445,2,1
532,1,77,3,1517,318690,8,2,1129,3,1
533,1,77,3,2246,151176,12,4,1629,1,1
534,1,77,3,780,340482,10,6,410,1,1
535,1,77,3,405,202025,7,4,1079,2,1
536,1,77,3,2106,269765,3,5,1110,3,1
537,1,77,3,28,363623,11,6,1452,3,1
538,1,77,3,3947,214777,7,3,1082,1,1
539,1,77,3,3720,196952,14,3,213,3,1
540,1,77,3,2422,55589,10,6,366,2,1
541,1,77,3,4492,230935,9,9,298,3,1
542,1,77,3,4318,313029,7,8,813,1,1
543,1,77,3,1744,137758,13,9,1037,1,1
544,1,77,3,2594,292844,5,9,1786,2,1
545,1,77,3,4207,357221,4,8,1935,3,1
546,1,77,3,601,368263,7,8,1516,1,1
547,1,78,3,470314,383780,17,12,27,0,1
548,1,78,3,283205,194537,11,3,20,0,1
549,1,78,3,326966,140818,12,11,23,0,1
550,1,78,3,399157,103621,10,10,4,0,1
551,1,78,3,139504,568600,12,9,5,0,1
552,1,78,3,335298,551788,19,5,7,0,1
553,1,78,3,204,141300,11,2,1762,1,1
554,1,78,3,4815,158322,14,6,406,1,1
555,1,78,3,4745,239156,5,6,1119,1,1
556,1,78,3,2334,60857,6,2,252,3,1
557,1,78,3,4676,55015,4,8,786,2,1
558,1,78,3,3996,344835,4,5,1380,1,1
559,1,78,3,2885,120880,8,7,1940,1,1
560,1,78,3,2748,356584,6,2,1924,2,1
561,1,78,3,600,220405,13,7,1923,3,1
562,1,78,3,3674,240218,11,7,414,3,1
563,1,79,3,309647,195973,16,13,3,0,1
564,1,79,3,433107,436637,18,13,2,0,1
565,1,79,3,247638,89320,5,14,8,0,1
566,1,79,3,77315,567575,11,4,8,0,1
567,1,79,3,56126,422383,19,7,26,0,1
568,1,79,3,204353,303215,8,3,5,0,1
569,1,79,3,4523,222720,13,5,1294,3,1
